Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,ILF,EPP,FEZ
2007/3/1,123.694458,47.61439514,65.81999969,38.11222458,105.4850082,96.75385284,25.10803223,409.9200134,23.24814224,24.02562141,32.91337967
2007/3/2,123.7788544,46.836483,63.70999908,37.53786087,104.1036453,96.80711365,24.87240791,408.0799866,22.76909065,23.76408195,32.47916794
2007/3/5,122.841156,46.15581512,62.93000031,37.24625397,103.1127319,96.78940582,24.82528305,396.9599915,22.2477684,23.03290749,31.89607811
2007/3/6,123.1693573,47.25785446,64.15000153,37.86480331,104.8768768,96.7982254,24.69333458,402.5599976,23.34395409,23.97789764,32.80172729
2007/3/7,123.7132187,47.16061401,64.30000305,37.71456909,104.7718201,96.83383179,24.91953087,410.3200073,23.14810181,23.89580536,32.73968887
2007/3/8,123.3193512,47.58198929,64.48000336,37.97083664,105.6576996,96.84268951,24.90068054,410.3200073,23.61165428,24.18407249,33.07465744
2007/3/9,123.0943527,47.61439514,64.25,37.93548965,105.687706,96.83383179,24.79700851,400.8800049,23.90332222,24.33870888,33.18013
2007/3/12,123.9101715,48.00335693,64.37000275,38.18292236,105.8453293,96.86045837,24.62735939,394.7999878,24.11889076,24.76443863,33.2545433
2007/3/13,123.8820267,47.12820053,63.72000122,37.44066238,103.7883682,96.92269897,24.40115929,391.519989,23.29041481,24.04853249,32.37991333
2007/3/14,124.1633224,46.70682907,63.93999863,37.98851776,104.5616302,96.93157196,24.48598289,393.1199951,23.57925415,24.23561859,32.47916794
2007/3/15,124.2945786,46.739254,63.97999954,37.90014267,104.7042084,96.92269897,24.12783813,389.3599854,23.74410057,24.50098038,32.63424683
2007/3/16,125.072937,46.70682907,64.62000275,37.87096786,104.4110794,96.94044495,24.42943573,387.3599854,23.50175476,24.45897865,32.79816818
2007/3/19,124.9322433,47.22544098,64.73999786,38.26004791,105.6697845,96.94044495,24.49540901,389.6000061,24.0019474,24.85988998,33.31355667
2007/3/20,125.1573181,47.64680862,65.26999664,38.53413773,106.2500916,96.96717072,24.67448425,387.6799927,24.28514671,25.03170013,33.59918594
2007/3/21,125.7949982,48.16541672,65.81999969,39.2768898,107.9987335,97.0293808,24.80643272,390.3999939,25.09813118,25.6483345,34.34431839
2007/3/22,125.3355026,48.23024368,65.76000214,39.13539886,107.9157944,97.00270081,24.83470726,401.4400024,25.0093689,25.55860519,34.31947708
2007/3/23,124.9322433,48.29507065,65.15000153,39.01161194,108.0740814,97.03824615,24.76873207,404.5599976,25.06572723,25.53569603,34.51197815
2007/3/26,125.3260956,48.03575897,65.83999634,39.17076492,107.9308701,97.04711914,24.31633568,409.3599854,25.06572723,25.69987869,34.46851349
2007/3/27,125.5511093,47.84128189,65.69999695,38.89665604,107.6746063,97.0737915,24.42943573,409.6000061,24.85014915,25.57006073,34.37537003
2007/3/28,125.1291656,47.48474503,66.05000305,38.48106766,106.8907623,97.10045624,24.57080841,416,24.51340675,25.25888634,34.0586853
2007/3/29,125.3542252,47.54956436,65.65000153,38.52529144,107.0037766,97.12711334,24.58965874,428.9599915,25.15449142,25.49560738,34.53059387
2007/3/30,125.5886688,47.22544098,65.73999786,38.48991013,107.0264206,97.12711334,23.74141312,426.7999878,25.13053322,25.6483345,34.55543137
2007/4/2,125.8124084,46.96613312,65.84999847,38.54297256,107.1470108,97.13154602,23.62831497,428.480011,25.49546242,25.77814674,34.73550034
2007/4/3,125.4457474,47.35508728,65.83000183,39.04697418,108.3002319,97.14936829,23.44924164,419.6799927,25.91534424,26.25350761,35.11428833
2007/4/4,125.6996078,47.7116394,66.80999756,39.20613861,108.4208069,97.2028656,23.73199081,418.6400146,26.03791809,26.42150307,35.31298828
2007/4/5,126.3670807,47.58198929,66.86000061,39.40066528,108.7147598,97.19393158,23.96761322,416.0799866,26.15064049,26.57423019,35.63587189
2007/4/9,125.6431808,47.51716232,66.52999878,39.30340958,108.8654861,97.2028656,23.99588776,402.7999878,26.4183445,26.64105034,35.50548172
2007/4/10,126.4141235,47.67922592,67.16000366,39.5067749,108.9935989,97.22955322,24.08071327,404.8800049,26.47470284,27.02668762,35.86562729
2007/4/11,126.4705582,47.48474503,67.08000183,39.09117889,108.5489044,97.25634766,24.09956169,403.6799927,26.31689262,26.78423119,35.68554688
2007/4/12,126.9499893,47.41991806,66.98999786,39.40066528,109.0312729,97.28311157,24.02416229,413.2000122,26.44371033,27.08013725,35.95256042
2007/4/13,127.4859009,47.03096771,67.83999634,39.4802475,109.5287247,97.30088043,24.335186,412.1600037,26.74240494,27.05913544,36.2878685
2007/4/16,127.542305,47.7116394,68.40000153,39.84276581,110.5687943,97.31871796,24.13726234,409.6000061,27.0805645,27.39513016,36.77841568
2007/4/17,127.7397385,47.41991806,68,39.93119812,110.8628006,97.32762909,23.81681633,402.3200073,27.07210541,27.42757797,36.80324554
2007/4/18,127.9935837,47.48474503,68.37999725,39.79855728,110.9984818,97.38998413,23.67543983,401.1199951,26.90585136,27.35694695,36.74737167
2007/4/19,128.1815796,47.25785446,67.52999878,39.92234802,110.9682922,97.39887238,23.96761322,393.7600098,26.93684578,26.99422836,36.64801025
2007/4/20,128.0406342,47.45232773,68.69999695,40.14340591,112.0159378,97.38998413,24.03358841,400.3999939,27.29895401,27.3760376,37.2627449
2007/4/23,127.8619919,46.93372726,68.26000214,40.20531464,111.5938644,97.42560577,23.56234169,409.7600098,27.10874557,27.13740349,36.91501999
